index,ds,y,yhat_lower,yhat_upper,yhat,product,student_type,funnel_step
1,2018-01-01,6233.0,,,,BA International Business,UK,enquiries
2,2019-01-01,7456.0,,,,BA International Business,UK,enquiries
0,2019-01-01,,7456.0,7456.0,7456.0,BA International Business,UK,enquiries
1,2020-01-01,,6200.2049851952825,8366.83249847159,7274.4739388597245,BA International Business,UK,enquiries
2,2021-01-01,,5965.022154027557,8314.189427523117,7133.306044916197,BA International Business,UK,enquiries
3,2022-01-01,,6119.885889326051,8332.405531307684,7205.487357471031,BA International Business,UK,enquiries
0,2017-01-01,2859.0,,,,BA International Business,International,enquiries
1,2018-01-01,2231.0,,,,BA International Business,International,enquiries
2,2019-01-01,2552.0,,,,BA International Business,International,enquiries
0,2019-01-01,,2552.0,2552.0,2552.0,BA International Business,International,enquiries
1,2020-01-01,,1841.09409454086,2711.1341592065587,2266.4113754258888,BA International Business,International,enquiries
2,2021-01-01,,1681.8888097937702,2571.6016945859483,2120.550950395078,BA International Business,International,enquiries
3,2022-01-01,,1538.655917172011,2415.7621498399635,1995.2161300197822,BA International Business,International,enquiries
0,2017-01-01,989.0,,,,BA International Business,UK,applications
1,2018-01-01,903.0,,,,BA International Business,UK,applications
2,2019-01-01,899.0,,,,BA International Business,UK,applications
0,2019-01-01,,899.0,899.0,899.0,BA International Business,UK,applications
1,2020-01-01,,1007.3204076998992,1067.766048672672,1036.576500020835,BA International Business,UK,applications
2,2021-01-01,,841.561024382836,905.2133370256436,873.4974214389403,BA International Business,UK,applications
3,2022-01-01,,856.5222235932893,923.9150737719639,890.075540371851,BA International Business,UK,applications
0,2017-01-01,366.0,,,,BA International Business,International,applications
1,2018-01-01,309.0,,,,BA International Business,International,applications
2,2019-01-01,379.0,,,,BA International Business,International,applications
0,2019-01-01,,379.0,379.0,379.0,BA International Business,International,applications
1,2020-01-01,,323.9384624371459,436.8969468874744,378.3546804923818,BA International Business,International,applications
2,2021-01-01,,316.80082358846306,435.38882452580117,375.16819608089236,BA International Business,International,applications
3,2022-01-01,,334.91908763551305,445.8948081518305,385.31803258742895,BA International Business,International,applications
0,2017-01-01,412.0,,,,BA International Business,UK,enrolments
1,2018-01-01,401.0,,,,BA International Business,UK,enrolments
2,2019-01-01,398.0,,,,BA International Business,UK,enrolments
0,2019-01-01,,398.0,398.0,398.0,BA International Business,UK,enrolments
1,2020-01-01,,442.86356396104503,452.06527305495035,448.0094115301525,BA International Business,UK,enrolments
2,2021-01-01,,393.3929375986509,418.7549434302673,406.61501263682993,BA International Business,UK,enrolments
3,2022-01-01,,392.49258599394545,439.5430864711297,418.11237982609157,BA International Business,UK,enrolments
0,2017-01-01,210.0,,,,BA International Business,International,enrolments
1,2018-01-01,217.0,,,,BA International Business,International,enrolments
2,2019-01-01,225.0,,,,BA International Business,International,enrolments
0,2019-01-01,,225.0,225.0,225.0,BA International Business,International,enrolments
1,2020-01-01,,248.03311447756815,248.24355020074557,248.14698317614494,BA International Business,International,enrolments
2,2021-01-01,,243.8744279319866,244.44768100517618,244.18782188644758,BA International Business,International,enrolments
3,2022-01-01,,254.79223605118312,255.89584668586278,255.37948321820144,BA International Business,International,enrolments
0,2017-01-01,245689.0,,,,BSc Maths & Stats,UK,web_traffic
1,2018-01-01,217332.0,,,,BSc Maths & Stats,UK,web_traffic
2,2019-01-01,190252.0,,,,BSc Maths & Stats,UK,web_traffic
0,2019-01-01,,190252.0,190252.0,190252.0,BSc Maths & Stats,UK,web_traffic
1,2020-01-01,,166088.15157602768,166590.83139796642,166348.9244160257,BSc Maths & Stats,UK,web_traffic
2,2021-01-01,,139986.61353211038,141534.9183668899,140768.76899932677,BSc Maths & Stats,UK,web_traffic
3,2022-01-01,,116893.1080763284,119754.78853937535,118350.32397493669,BSc Maths & Stats,UK,web_traffic
0,2017-01-01,21641.0,,,,BSc Maths & Stats,International,web_traffic
1,2018-01-01,17777.0,,,,BSc Maths & Stats,International,web_traffic
2,2019-01-01,12862.0,,,,BSc Maths & Stats,International,web_traffic
0,2019-01-01,,12862.0,12862.0,12862.0,BSc Maths & Stats,International,web_traffic
1,2020-01-01,,-1301.0180787069562,-95.97137055919995,-731.7262616955268,BSc Maths & Stats,International,web_traffic
2,2021-01-01,,-493.640487478304,3314.504116850606,1467.8317072964346,BSc Maths & Stats,International,web_traffic
3,2022-01-01,,-8739.180069665274,-1730.7237093256472,-5005.449751737906,BSc Maths & Stats,International,web_traffic
0,2017-01-01,4937.0,,,,BSc Maths & Stats,UK,enquiries
1,2018-01-01,4590.0,,,,BSc Maths & Stats,UK,enquiries
2,2019-01-01,3808.0,,,,BSc Maths & Stats,UK,enquiries
0,2019-01-01,,3808.0,3808.0,3808.0,BSc Maths & Stats,UK,enquiries
1,2020-01-01,,1809.258273353978,2137.7711843705024,1981.8833664637887,BSc Maths & Stats,UK,enquiries
2,2021-01-01,,2230.946981332059,2549.4054325406983,2393.8571937757843,BSc Maths & Stats,UK,enquiries
3,2022-01-01,,1373.6980958147003,1691.7423553726464,1535.482475686309,BSc Maths & Stats,UK,enquiries
0,2017-01-01,951.0,,,,BSc Maths & Stats,International,enquiries
1,2018-01-01,641.0,,,,BSc Maths & Stats,International,enquiries
2,2019-01-01,465.0,,,,BSc Maths & Stats,International,enquiries
0,2019-01-01,,465.0,465.0,465.0,BSc Maths & Stats,International,enquiries
1,2020-01-01,,129.23662760803467,253.37763329998586,191.38856124256048,BSc Maths & Stats,International,enquiries
2,2021-01-01,,-70.15587056882622,49.93985529041661,-12.366468765109175,BSc Maths & Stats,International,enquiries
3,2022-01-01,,-286.59599560935277,-168.46809874790515,-229.40862244392702,BSc Maths & Stats,International,enquiries
0,2017-01-01,501.0,,,,BSc Maths & Stats,UK,applications
1,2018-01-01,421.0,,,,BSc Maths & Stats,UK,applications
2,2019-01-01,351.0,,,,BSc Maths & Stats,UK,applications
0,2019-01-01,,351.0,351.0,351.0,BSc Maths & Stats,UK,applications
1,2020-01-01,,311.8345605272589,321.28180469167785,317.3136904694503,BSc Maths & Stats,UK,applications
2,2021-01-01,,212.7841180387479,241.98532115843443,229.37300156955007,BSc Maths & Stats,UK,applications
3,2022-01-01,,149.21011780286136,201.83086143771044,177.69704220185497,BSc Maths & Stats,UK,applications
0,2017-01-01,83.0,,,,BSc Maths & Stats,International,applications
1,2018-01-01,81.0,,,,BSc Maths & Stats,International,applications
2,2019-01-01,50.0,,,,BSc Maths & Stats,International,applications
0,2019-01-01,,50.0,50.0,50.0,BSc Maths & Stats,International,applications
1,2020-01-01,,15.140165234655905,40.27811096362961,26.96864481453362,BSc Maths & Stats,International,applications
2,2021-01-01,,7.837152590779318,33.159112288371205,20.484978360141852,BSc Maths & Stats,International,applications
3,2022-01-01,,-10.596190152640842,15.513717143244326,2.8487696705037706,BSc Maths & Stats,International,applications
0,2017-01-01,250.0,,,,BSc Maths & Stats,UK,enrolments
1,2018-01-01,222.0,,,,BSc Maths & Stats,UK,enrolments
2,2019-01-01,162.0,,,,BSc Maths & Stats,UK,enrolments
0,2019-01-01,,162.0,162.0,162.0,BSc Maths & Stats,UK,enrolments
1,2020-01-01,,57.602938052379514,86.09706724955664,71.86184741881812,BSc Maths & Stats,UK,enrolments
2,2021-01-01,,55.25170302855616,82.23810366713208,68.95627194065355,BSc Maths & Stats,UK,enrolments
3,2022-01-01,,3.065113290158854,30.529726987095568,16.224968244736658,BSc Maths & Stats,UK,enrolments
0,2017-01-01,43.0,,,,BSc Maths & Stats,International,enrolments
1,2018-01-01,21.0,,,,BSc Maths & Stats,International,enrolments
2,2019-01-01,22.0,,,,BSc Maths & Stats,International,enrolments
0,2019-01-01,,22.0,22.0,22.0,BSc Maths & Stats,International,enrolments
1,2020-01-01,,-5.750936242553986,13.922862269906489,4.050581918389106,BSc Maths & Stats,International,enrolments
2,2021-01-01,,-13.370185514893889,8.345786099148265,-2.57127399036305,BSc Maths & Stats,International,enrolments
3,2022-01-01,,-23.02884853539475,-3.2494576614563573,-12.836460757067599,BSc Maths & Stats,International,enrolments
0,2017-01-01,0.0,,,,BSc Banking & Finance,UK,web_traffic
1,2018-01-01,0.0,,,,BSc Banking & Finance,UK,web_traffic
2,2019-01-01,96435.0,,,,BSc Banking & Finance,UK,web_traffic
0,2019-01-01,,96435.0,96435.0,96435.0,BSc Banking & Finance,UK,web_traffic
1,2020-01-01,,103350.00108754067,193732.25879923566,149224.7709682609,BSc Banking & Finance,UK,web_traffic
2,2021-01-01,,133640.7117678431,219435.73094003933,176789.75502561976,BSc Banking & Finance,UK,web_traffic
3,2022-01-01,,182442.66333746247,268692.37867960345,225229.84787920403,BSc Banking & Finance,UK,web_traffic
0,2017-01-01,0.0,,,,BSc Banking & Finance,International,web_traffic
1,2018-01-01,0.0,,,,BSc Banking & Finance,International,web_traffic
2,2019-01-01,10511.0,,,,BSc Banking & Finance,International,web_traffic
0,2019-01-01,,10511.0,10511.0,10511.0,BSc Banking & Finance,International,web_traffic
1,2020-01-01,,11426.159980435756,21032.30481260457,16264.857859152698,BSc Banking & Finance,International,web_traffic
2,2021-01-01,,14836.818487295932,23931.046549819755,19269.32249778907,BSc Banking & Finance,International,web_traffic
3,2022-01-01,,20114.809381734456,29007.302580009415,24549.084160919934,BSc Banking & Finance,International,web_traffic
0,2017-01-01,0.0,,,,BSc Banking & Finance,UK,enquiries
1,2018-01-01,0.0,,,,BSc Banking & Finance,UK,enquiries
2,2019-01-01,5001.0,,,,BSc Banking & Finance,UK,enquiries
0,2019-01-01,,5001.0,5001.0,5001.0,BSc Banking & Finance,UK,enquiries
1,2020-01-01,,5501.392514799895,9983.064457006503,7738.6123255277935,BSc Banking & Finance,UK,enquiries
2,2021-01-01,,6931.535424700681,11486.240858704035,9168.098355193906,BSc Banking & Finance,UK,enquiries
3,2022-01-01,,9372.571088773871,13888.478212911254,11680.141745672208,BSc Banking & Finance,UK,enquiries
0,2017-01-01,0.0,,,,BSc Banking & Finance,International,enquiries
1,2018-01-01,0.0,,,,BSc Banking & Finance,International,enquiries
2,2019-01-01,831.0,,,,BSc Banking & Finance,International,enquiries
0,2019-01-01,,831.0,831.0,831.0,BSc Banking & Finance,International,enquiries
1,2020-01-01,,922.6075833057654,1666.943869972344,1285.9001884650265,BSc Banking & Finance,International,enquiries
2,2021-01-01,,1172.9223395746626,1865.9492704052582,1523.433259981231,BSc Banking & Finance,International,enquiries
3,2022-01-01,,1585.455327706341,2330.9410600655656,1940.8513878531503,BSc Banking & Finance,International,enquiries
0,2017-01-01,0.0,,,,BSc Banking & Finance,UK,applications
1,2018-01-01,0.0,,,,BSc Banking & Finance,UK,applications
