,ds,y,type,yhat,student_type,product,funnel_step
85,2018-09-01,27080.0,Historical,,International,BA International Business,web_traffic
86,2019-09-01,33345.0,Historical,,International,BA International Business,web_traffic
87,2019-09-01,,Forecast,33345.0,International,BA International Business,web_traffic
88,2020-09-01,,Forecast,28783.0,International,BA International Business,web_traffic
89,2021-09-01,,Forecast,33344.0,International,BA International Business,web_traffic
90,2022-09-01,,Forecast,28784.0,International,BA International Business,web_traffic
91,2017-09-01,2859.0,Historical,,International,BA International Business,enquiries
92,2018-09-01,2231.0,Historical,,International,BA International Business,enquiries
93,2019-09-01,2552.0,Historical,,International,BA International Business,enquiries
94,2019-09-01,,Forecast,2552.0,International,BA International Business,enquiries
95,2020-09-01,,Forecast,2415.0,International,BA International Business,enquiries
96,2021-09-01,,Forecast,2508.0,International,BA International Business,enquiries
97,2022-09-01,,Forecast,2444.0,International,BA International Business,enquiries
98,2017-09-01,366.0,Historical,,International,BA International Business,applications
99,2018-09-01,309.0,Historical,,International,BA International Business,applications
100,2019-09-01,379.0,Historical,,International,BA International Business,applications
101,2019-09-01,,Forecast,379.0,International,BA International Business,applications
102,2020-09-01,,Forecast,315.0,International,BA International Business,applications
103,2021-09-01,,Forecast,378.0,International,BA International Business,applications
104,2022-09-01,,Forecast,315.0,International,BA International Business,applications
105,2017-09-01,210.0,Historical,,International,BA International Business,enrolments
106,2018-09-01,217.0,Historical,,International,BA International Business,enrolments
107,2019-09-01,225.0,Historical,,International,BA International Business,enrolments
108,2019-09-01,,Forecast,225.0,International,BA International Business,enrolments
109,2020-09-01,,Forecast,233.0,International,BA International Business,enrolments
110,2021-09-01,,Forecast,241.0,International,BA International Business,enrolments
111,2022-09-01,,Forecast,249.0,International,BA International Business,enrolments
112,2017-09-01,245689.0,Historical,,UK,BSc Maths & Stats,web_traffic
113,2018-09-01,217332.0,Historical,,UK,BSc Maths & Stats,web_traffic
114,2019-09-01,190252.0,Historical,,UK,BSc Maths & Stats,web_traffic
115,2019-09-01,,Forecast,190252.0,UK,BSc Maths & Stats,web_traffic
116,2020-09-01,,Forecast,174123.0,UK,BSc Maths & Stats,web_traffic
117,2021-09-01,,Forecast,162344.0,UK,BSc Maths & Stats,web_traffic
118,2022-09-01,,Forecast,153740.0,UK,BSc Maths & Stats,web_traffic
119,2017-09-01,4937.0,Historical,,UK,BSc Maths & Stats,enquiries
120,2018-09-01,4590.0,Historical,,UK,BSc Maths & Stats,enquiries
121,2019-09-01,3808.0,Historical,,UK,BSc Maths & Stats,enquiries
122,2019-09-01,,Forecast,3808.0,UK,BSc Maths & Stats,enquiries
123,2020-09-01,,Forecast,3840.0,UK,BSc Maths & Stats,enquiries
124,2021-09-01,,Forecast,3819.0,UK,BSc Maths & Stats,enquiries
125,2022-09-01,,Forecast,3832.0,UK,BSc Maths & Stats,enquiries
126,2017-09-01,501.0,Historical,,UK,BSc Maths & Stats,applications
127,2018-09-01,421.0,Historical,,UK,BSc Maths & Stats,applications
128,2019-09-01,351.0,Historical,,UK,BSc Maths & Stats,applications
